Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
27638,区间,2,2,5264,,1,0.0035%,
27639,群里,2,2,5265,,1,0.0035%,
27642,市政,2,2,552,1,2,0.0070%,
27650,仪器,2,2,5266,,1,0.0035%,
27652,深夜,2,2,5267,,1,0.0035%,
27664,前沿,2,2,5268,,3,0.0105%,
27666,思念,2,2,5269,,1,0.0035%,
27669,总理,2,2,5270,,1,0.0035%,
27671,意图,2,2,5271,,1,0.0035%,
27674,可用,2,2,5272,,1,0.0035%,
27675,还原,2,2,5273,,1,0.0035%,
27677,引入,2,2,5274,,1,0.0035%,
27679,这对,2,2,5275,,1,0.0035%,
27688,日记,2,2,5276,,1,0.0035%,
27692,做饭,2,2,5277,,1,0.0035%,
27693,无所,2,2,5278,,1,0.0035%,
27694,快捷,2,2,5279,,1,0.0035%,
27695,主力,2,2,5280,,1,0.0035%,
27698,太极,2,2,5281,,1,0.0035%,
27701,相机,2,2,5282,,1,0.0035%,
27704,他会,2,2,5283,,1,0.0035%,
27705,好几,2,2,5284,,1,0.0035%,
27707,曾在,2,2,5285,,1,0.0035%,
27708,权力,2,2,5286,,1,0.0035%,
27710,好人,2,2,5287,,1,0.0035%,
27712,合伙,2,2,5288,,1,0.0035%,
27715,逆行,2,2,5289,,3,0.0105%,
27728,少许,2,2,5290,,1,0.0035%,
27733,从中,2,2,5291,,1,0.0035%,
27735,搞笑,2,2,5292,,4,0.0141%,
27736,远的,2,2,5293,,1,0.0035%,
27742,鼻子,2,2,5294,,3,0.0105%,
27747,优异,2,2,5295,,1,0.0035%,
27754,名词,2,2,5296,,1,0.0035%,
27756,之道,2,2,5297,,1,0.0035%,
27765,世上,2,2,5298,,1,0.0035%,
27769,夜晚,2,2,5299,,1,0.0035%,
27779,榜样,2,2,5300,,4,0.0141%,
27784,开水,2,2,5301,,1,0.0035%,
27794,味的,2,2,5302,,1,0.0035%,
27795,普查,2,2,5303,,1,0.0035%,
27819,愿你,2,2,5304,,1,0.0035%,
27822,时长,2,2,5305,,1,0.0035%,
27830,鞋子,2,2,5306,,3,0.0105%,
