Token ID,Token,Total Length,Chinese Length,Longword ID,Subword ID,Occurrences,Percentage,Pollute Type
53704,豪车,2,2,17364,,1,0.0032%,
53705,这下,2,2,17365,,1,0.0032%,
53709,暫時,2,2,17366,,3,0.0096%,
53710,林彪,2,2,17367,,3,0.0096%,
53712,祠堂,2,2,17368,,3,0.0096%,
53717,守信,2,2,17369,,1,0.0032%,
53718,年就,2,2,17370,,1,0.0032%,
53719,松江,2,2,17371,,1,0.0032%,
53720,立場,2,2,17372,,1,0.0032%,
53721,缔造,2,2,17373,,1,0.0032%,
53722,若无,2,2,17374,,1,0.0032%,
53723,之忧,2,2,17375,,1,0.0032%,
53724,朝天,2,2,17376,,1,0.0032%,
53725,標題,2,2,17377,,1,0.0032%,
53730,成败,2,2,17378,,1,0.0032%,
53731,晓彤,2,2,17379,,3,0.0096%,
53732,認可,2,2,17380,,1,0.0032%,
53736,字幕,2,2,17381,,1,0.0032%,
53739,价钱,2,2,17382,,1,0.0032%,
53740,弹药,2,2,17383,,1,0.0032%,
53741,钢材,2,2,17384,,1,0.0032%,
53744,回來,2,2,17385,,1,0.0032%,
53745,湘江,2,2,17386,,1,0.0032%,
53746,要到,2,2,17387,,1,0.0032%,
53751,南湖,2,2,17388,,1,0.0032%,
53752,大红,2,2,17389,,1,0.0032%,
53753,安逸,2,2,17390,,3,0.0096%,
53754,視頻,2,2,17391,,1,0.0032%,
53758,不愧,2,2,17392,,1,0.0032%,
53759,打理,2,2,17393,,1,0.0032%,
53760,苗栗,2,2,17394,,3,0.0096%,
53762,变幻,2,2,17395,,1,0.0032%,
53763,懒惰,2,2,17396,,5,0.0160%,
53764,拘役,2,2,17397,,1,0.0032%,
53765,横幅,2,2,17398,,1,0.0032%,
53766,河内,2,2,17399,,1,0.0032%,
53768,挥洒,2,2,17400,,1,0.0032%,
53769,未尽,2,2,17401,,1,0.0032%,
53770,老妈,2,2,17402,,1,0.0032%,
53775,功勋,2,2,17403,,1,0.0032%,
53776,句話,2,2,17404,,1,0.0032%,
53777,开好,2,2,17405,,1,0.0032%,
53778,省道,2,2,17406,,1,0.0032%,
53779,▁我的,3,2,17407,,1,0.0032%,
53782,写实,2,2,17408,,1,0.0032%,
53783,点心,2,2,17409,,1,0.0032%,
53784,远古,2,2,17410,,1,0.0032%,
53785,金鸡,2,2,17411,,1,0.0032%,
53788,之谜,2,2,17412,,3,0.0096%,
53789,写真,2,2,17413,,1,0.0032%,
53790,晚清,2,2,17414,,1,0.0032%,
53793,伟业,2,2,17415,,1,0.0032%,
53794,勘查,2,2,17416,,1,0.0032%,
53795,建構,2,2,17417,,1,0.0032%,
53796,身价,2,2,17418,,1,0.0032%,
53798,买菜,2,2,17419,,1,0.0032%,
53799,净值,2,2,17420,,1,0.0032%,
53800,纳粹,2,2,17421,,1,0.0032%,
53802,烟雾,2,2,17422,,3,0.0096%,
53803,督办,2,2,17423,,1,0.0032%,
53804,诗句,2,2,17424,,1,0.0032%,
53811,劝导,2,2,17425,,3,0.0096%,
53812,定力,2,2,17426,,1,0.0032%,
53813,强壮,2,2,17427,,1,0.0032%,
53814,手可,2,2,17428,,1,0.0032%,
53815,月子,2,2,17429,,1,0.0032%,
53816,港湾,2,2,17430,,1,0.0032%,
53817,由衷,2,2,17431,,1,0.0032%,
53818,经由,2,2,17432,,1,0.0032%,
53822,再者,2,2,17433,,1,0.0032%,
53823,报案,2,2,17434,,1,0.0032%,
53824,旺角,2,2,17435,,1,0.0032%,
53825,渔民,2,2,17436,,1,0.0032%,
53826,貌似,2,2,17437,,1,0.0032%,
53830,見面,2,2,17438,,1,0.0032%,
53834,學期,2,2,17439,,1,0.0032%,
53835,建置,2,2,17440,,1,0.0032%,
53837,一地,2,2,17441,,1,0.0032%,
53838,可比,2,2,17442,,1,0.0032%,
53840,知足,2,2,17443,,1,0.0032%,
53844,擦拭,2,2,17444,,3,0.0096%,
53845,源县,2,2,17445,,1,0.0032%,
53846,长按,2,2,17446,,1,0.0032%,
53848,且有,2,2,17447,,1,0.0032%,
53849,油烟,2,2,17448,,1,0.0032%,
53850,煎熬,2,2,17449,,3,0.0096%,
53851,版图,2,2,17450,,1,0.0032%,
53852,特派,2,2,17451,,1,0.0032%,
53853,繪畫,2,2,17452,,3,0.0096%,
53858,多伦,2,2,17453,,1,0.0032%,
53859,犯错,2,2,17454,,1,0.0032%,
53860,而今,2,2,17455,,1,0.0032%,
53861,肤色,2,2,17456,,1,0.0032%,
53862,前海,2,2,17457,,1,0.0032%,
